Arabizi,Arabic
l3abna,لعبنا
malkoum,مالكم
m3a9din,معقدين
mn,من
ls,ل
marocain,مراركة
marocain,ماروكان
m3an,معانا
serum,صيروم
anesthesie,أنيستيزي
m3ah,معاه
srir,سرير
cimetiere,الجبانة
aimerai,جيمري
bien,بيان
americains,أميريكان
americains,اميريكان
seront,إكونو
seront,سورون
notre,نوتر
protigeurs,بروطيجور
allahoma,اللهم
ij3al,إجعل
al,ال
amricaines,أمريكان
awliyaa,أولياء
lana,لنا
pourtant,پورطان
pourtant,بورتو
ani,اني
mehtaj,محتاج
a,ا
peu,بو
pres,پري
trois,طروا
cent,صون
cent,سون
millions,مليون
lagerie,الجيري
lagerie,لألجيري
cup,كوب
monde,موند
chahata,شحاتة
c’est,سي
trop,ترو
tard,طار
khatak,خاطك
khatak,خاطاك
jaboulna,جابولنا
civiere,سيفيار
akher,لاخر
akher,اخر
khateb,خاطب
yprofaite,يبروفيتي
far7a,فرحة
yewakhed,يوخد
tefla,طفلة
phenomene,فينومان
jedid,جديد
jana,جانا
3wam,لعوام
adiya,هاديا
naif,ناييف
mssaken,مساكن
mazalhoum,مازالهم
yamnou,يامنو
anta,انت
talaab,تلعب
americans,أميريكان
ouffff,أوف 
3aiiitt,عييت
telement,تالمان
ai,اي
envi,أنفي
lokan,لوكان
jat,جات
baldan,بلدان
l3arabiya,العربية
dayra,دايرا
kiman,كيمان
hak,حق
falstin,فلسطين
stakalat,ستقلت
bakri,بكري
algerie,الجيري
benbouzid,بنبوزيد
esaha,الصحة
3a,على
wach,واش
derti,درتي
fina,فينا
vrais,فري
nous,نو
on,اون
rien,ريان
te,تو
faire,فار
tkt,تينكيات
pas,با
tu,تو
techaper,تيشابي
lui,لوي
trebhek,تربحك
haguar,حقار
hasbiya,حسبي
ni3ma,نعمة
alwakil,الوكيل
3lik,عليك
viva,فيفا
tani,تاني
ya3tikom,يعطيكم
setif,سطيف
cherftouna,شرفتونا
mouloudia,مولودية
had,هاد
3am,عام
chompione,شامبيوني
n3agab,نعقب
tonobile,طونوبيل
am,ام
andi,عندي
combines,كومبين
cest,سي
homme,هوم
merite,يستهل
merite,ميريت
medaille,ميداليا
or,ذهب
or,اور
peuple,بوبل
3agoun,عقون
kounou,كونو
chouia,شويا
serieux,سيريو
matbahdlounech,متبهدلوناش
3ala,على
khater,خاطر
retour,روتور
yeghlet,يغلط
ikhaless,إخلص
teklassiou,تكلاسيو
mlih,مليح
3anter,عنطر
fatekkk,فاتك
dork,دورك
bon,بون
khali,خلي
plastek,بلاصتك
fiha,فيها
barak,بارك
me,من
me,مو
bouzid,بوزيد
khir,خير
men,من
belaid,بلعيد
medjani,مجاني
yest7a9,يستحق
yel3ab,يلعب
djazair,دزاير
rahet,راحت
wakt,وقت
irhab,إرهاب
irhab,ارهاب
je,جو
crois,كروا
ke,كو
louken,لوكان
jet,جات
franca,فرانسا
mesta3amretna,مستعمرتنا
balak,بالاك
sere,سوغي
mieux,ميو
hadi,هادي
haja,حاجة
meliha,مليحة
ana,انا
tsa3adni,تساعدني
dir,دير
fibalek,فبالك
rahatt,راحت
carriere,كاريير
ta3aket,تاعك
chouff,شوف
ida,ادا
wahed,واحد
mene,من
masoulene,مسؤلين
responsables,ريسبونسابل
yawakfou,يوقفو
apres,ابري
au,او
bled,بلاد
yabkiw,يبكيو
era3i,الراعي
ou,و
yadahkou,يدحكو
edib,الذيب
koulchi,كلشي
khdeb,كدب
qoulli,قولي
wiin,وين
rajel,راجل
omha,أمها
kelb,كلب
ki,كي
3od,عود
wa7do,وحدو
yestaf3el,يستفعل
faha,فيها
yehkmou,يحكمو
3lih,عليه
mouabed,مؤبد
beh,باه
may,ماي
3awedch,عاودش
chi,شي
ge3d,قاعد
idir,إدير
idir,ادير
fih,فيه
3alayka,عليك
akhi,اخي
mohamed,محمد
ci,سي
dommage,دوماج
yahdi,يهدي
lkoub,كل
mas3ouline,المسؤولين
yarham,يرحم
chouhada,شهادا
chouhada,شهدا
dahaw,ضحاو
bache,باش
i3ichou,إعيشو
wata,ونتا
koule,كل
jazairiyine,جزائريين
hourine,حرين
bhakhoum,بحقهم
pitrole,بترول
gaz,غاز
gaz,ڨاز
s3oudiyine,سعوديين
hazbouna,حسبي
ni3mal,نعم
wakil,وكيل
merci,ميرسي
3ami,عمي
boutef,بوتاف
ndimari,نديماري
atak,اطاك
jamais,جامي
nkhamam,نخمم
insi7ab,إنسحاب
louche,لووش
bomba,بومبة
ce,سو
moment,مومو
awahhhhhhhhhhhhhhhhhhhhhh,أواه
iooo,يوووو
aderbou,أدربو
3al,على
che3ir,شعير
yenssa,يانسا
kamhhhhhhhhhhhh,قمح
khabit,خبيث
iro7,إروح
i9abelha,إقابلها
tol,طول
9ibla,قبلة
9obla,قبل
ora,ورا
ora,اورا
7eta,حتى
tesba7,تصبح
3end,عند
9abla,قابلة
yekhi,ياخي
ghalta,غلطة
ghalta,غالطة
kbar,كبار
avez,افي
honte,هونت
est,اي
croyes,كروايي
quon,كون
va,فا
laissez,ليسي
chez,شي
deja,ديجا
allez,الي
perdre,بيردر
contre,كونتر
zambie,زامبي
alor,الور
ne,نو
enflamme,انفلامي
pffffffff,بفففففف
lkhedra,الخدرة
ndirou,نديرو
hala,حالا
e,ال
lil,ليل
dima,ديما
sahrane,سهران
lhih,لهيه
be,ب
chrab,شراب
f’,ف
bars,بار
ma3akoum,معاكم
inchallahe,نشالله
inchallahe,انشالله
trbhou,تربحو
rouwanda,رواندا
surtoud,سورتو
massar,ماصر
hamdolah,حمدلله
khfna,خفنا
m3ana,معانا
maroc,مروك
reponse,ريبونص
reponse,ريبونس
no,نو
presence,بريسانص
face,فاس
juif,جويف
sest,سي
reconaissance,ريكونيصانس
letat,ليتا
hebreu,هيبرو
n3alahom,نعلهم
nta,نتا
ta3leb,ثعلب
fanak,فنك
kii,كي
nesma3,نسمع
coup,كوب
etat,ايتا
kol,كل
7ouma,حوما
gareta,قاريطا
ouyahya,أويحيى
ma,ما
nesmahlek,نسمحلك
3and,عند
travaille,طرافاي
g,جي
g,ج
posee,پوسي
dossier,دوسي
avoir,افوار
une,اون
voiture,فواتور
par,بار
fasilite,فاسيليتي
lavoiture,لافواتور
coute,كووت
coute,كوتي
milions,مليون
free,فري
du,دو
mon,مون
taxe,طاكس
cout,كووت
safait,سافي
tous,توس
avoire,افوار
normale,نورمال
jeune,جون
son,سون
hadara,هدرة
bla,بلا
mziyetak,مزيتك
imala,إمالا
imala,امالا
3awed,عاود
rouhak,روحك
weli,ولي
l3aklak,لعقلك
amine,امين
raba,رب
3alamine,عالمين
hda,هدا
bahdalna,بهدلنا
marakach,مراكش
mazal,مازال
yhki,يحكي
3la,على
daraja,دراجة
lawla,لولا
tanya,ثانية
machi,ماشي
modarab,مدرب
3ando,عندو
tacharak,تشرك
fom,فم
galak,قالك
egoulolo,إفولولو
jiniral,جينيرال
cabran,كبران
ben,بن
yamina,يامينة
3awwwwwwwwwwwwwwwwwwww3a,عووووو
chourouk,شروق
t3awnih,تعاونيه
usma,اتحاد الجزائر
tahya,تحيا
sidi,سيدي
i3ayach,يعيش
manadi,منادي
abrahime,إبراهيم
fitach,فيطاش
jazayar,جزاير
3andeh,عنده
bac,باك
annee,اني
yadih,يديه
rabii,ربي
am3akoum,معاكم
verts,فار
inchalah,نشالله
stad,سطاد
stad,صطاد
kahira,قاهرة
ghir,غير
rab7ou,ربحو
zahiwna,زاهيونا
makan,ماكان
nchaleh,نشالله
matahbatch,ماتحبطش
doyen,دوايان
meur,مور
jamai,جامي
3adyen,عديان
ni,ني
amtar,امطار
walou,والو
darba,دربة
cetais,سيتي
des,دي
terros,تيرو
couvrez,كوفري
montrer,مونتري
3awratihim,عورتهم
alikoum,عليكم
jskkkkkkkkkkk,جسك
lina,لينا
hmere,حمار
raho,راهو
la3eb,لاعب
kbire,كبير
indjeho,ينجحو
aso,اسو
aso,اساو
souhaite,سوهات
reussite,رييوسيت
reussite,ريوسيت
reussite,غيوسيت
equipe,ايكيب
inchaa,انشاء
lah,الله
egypte,إيجبت
egypte,ايجيبت
aussi,اوسي
comme,كوم
finit,فيني
querelle,كوريل
sommes,سوم
freres,فرار
bonne,بون
chance,شانس
3awenkom,عاونكوم
ma3awnoush,ماعاونوش
jeunes,جون
blad,بلاد
y3awnous,يعاونو
heraga,حراقة
suis,سوي
recherche,روشيرش
recherche,روشارش
logement,لوجما
bela,بلا
tchipa,تشيبا
m3aref,معارف
ssah,الصح
dem,دم
lahmi,لحمي
yweli,يولي
akhel,كحل
hram,حرام
khosna,خصنا
chewiya,شويا
akhebare,أخبار
3ane,عن
fananine,فنانين
motribine,مطربين
khasatan,خاصة
sur,سور
sport,سبور
combien,كومبيان
3andak,عندك
konte,كومت
soie,سوا
avc,افيك
isslahate,إصلاحات
nichan,نيشان
3andek,عندك
sah,صح
sahbi,صحبي
tehya,تحيا
hamri,حمري
juska,جوسكا
mayabghounech,مايحبوناش
3lah,علاه
plus,بلوس
ka,ك
ta3i,تاعي
techniques,تيكنيك
s3ab,صعاب
khoya,خويا
tarki,تركي
hasbatlek,حسباتلك
takwim,تقويم
moustamir,مستمر
lilna,لينا
wallah,والله
nakdar,نقدر
nkoulek,نقولك
haddek,هاداك
houwa,هو
promble,بروبليم
allahouma,اللهم
enssour,أنصر
falestine,فلسطين
wj3al,وأجعل
itihad,إتحاد
beynana,بيننا
ziani,زياني
we,و
y3ad,يعاد
3aine,عاين
3aine,عين
hadh,هاد
ahbal,هبال
rani,راني
canada,كانادا
nakhdem,نخدم
hidjab,حجاب
wlad,ولاد
gwar,ڨور
khafouch,خافوش
3lihoum,عليهم
mel,مل
choc,شوك
drari,دراري
yhabouni,يحبوني
leur,لوغ
parents,بارون
kif,كيف
khafou,خافو
khayfa,خايفة
yab3athlna,يبعتلنا
3ikab,عقاب
kawm,قوم
lot,لوط
nahd,نهد
lmsam3i,لمسامعي
ji3ane,جيعان
tghir,تغير
msfra,مصفرة
psk,باسك
jeuns,جان
ch3lo,شعلو
fimigene,فيميجان
coupe,كوب
grave,ڨراف
sera,سورا
prochaine,بروشان
prochaine,بروشين
fois,فوا
khadra,خضرة
m3aaaaaaaaaaaaaaaaak,معاك
dzayeeeeer,دزاير
gdeb,كدب
faux,فو
alah,الله
yahdik,يهديك
wen,من
rak,راك
3ayache,عايش
almarikhe,المريخ
wala,ولا
hokoma,حكومة
please,بليز
achourok,الشروق
anchar,انشر
halilouzitche,حليلودزيتش
tasana,تسنا
khadma,خدمة
kbira,كبيرة
rah,راه
y3awad,إعاود
kollache,كلش
ykoune,يكون
boone,بون
kouraj,كوراج
adouma,هادوما
affaires,أفير
affaires,آفير
nkhalihoum,نخليهم
deri,دراري
deri,ديري
sghar,صغار
hawla,حول
kowata,قوة
ila,الا
ellah,الله
lazem,لازم
ya3admouh,يعدموه
bech,باش
yekoun,يكون
3ibra,عبرة
limen,لمن
ya3tabir,يعتبر
salamou,سلام
3alaykoum,عليكم
totalment,توتالمو
acord,اكور
llah,الله
ajma3ine,اجمعين
3ayaltou,عايلتو
yahmik,يحميك
3een,عين
nafsakh,نفسخ
tawba,توبة
nhasalha,نحصلها
societe,سوسييتي
wache,واش
tmaskhir,تمسخير
goul,قول
goul,ڨول
venger,فينغر
khallache,خلاش
saifi,صايفي
yal3ab,يلعب
ridjale,رجال
m3akoum,معاكم
hichem,هشام
daoud,داود
tissemsilt,تيسمسيلت
antouma,نتوما
cha3ab,شعب
faregh,فارغ
chghoul,شغل
ga3din,قاعدين
temps,طو
lakh,الاخ
salah,صالح
hado,هادو
3andhom,عندهم
ay,اي
3alaka,علاقة
islam,اسلام
juife,جويف
kifak,كيفك
pense,بانس
pa,با
ces,سي
gens,جون
matenfa3ch,ماتنفعش
m3ahom,معاهم
garde,ڨارد
garde,قاغد
vue,فو
farhouna,فرحونا
criminel,كريمينال
resteras,ريستورا
toujours,توجور
3afina,عافينا
doniyana,دنيانا
dinana,ديننا
bourgeoisi,بورجوازي
marcedes,مرسيداس
mekhou,مخو
mekrazi,مكرازي
bus,بيس
nqasi,نقاسي
ahsan,احسن
fa3alou,فعلو
almaghrib,المغرب
yatawafar,يتوفر
almala3ib,الملاعب
walfanadi9,و الفنادق
walbounya,و البنية
atahtiya,التحتية
ybi3,يبيع
yghatas,يغطس
y9os,يقس
y3as,يعس
nssa,نسا
rouho,روحو
gdah,ڨداه
3andou,عندو
howa,هو
hakame,حاكم
rcd,التجمع من أجل الثقافة والديمقراطية
alors,الوغ
sa3id,سعيد
dictateur,ديكتاتور
okhrine,اخرين
euro,اورو
ykoun,اكون
m3aha,معاها
mskina,مسكينة
celui,سولوي
commis,كومي
crime,كريم
doit,دوا
payer,بايي
eli,الي
yakhrab,يخرب
bouguera,بوقرة
ndir,ندير
alih,عليه
gira,ڨيرا
matmour,متمور
amour,امور
ydji,يجي
ledzair,لدزاير
nroh,نروح
ndor,ندور
ghilas,غيلاس
labasse,لاباس
kolo,كل
leila,ليلة
karim,كريم
mreserve,مريزارفي
algeri,الجيري
mabrok,مبروك
tal3a,طلعة
medea,مدية
moral,مورال
fond,فوند
3likom,عليكم
yhdikom,يهديكم
yjib,يجيب
alkhir,الخير
yakh,ياخ
yakh,ياخي
thawso,تحوسو
aldimokratya,الديمقراطية
hadihya,هاديهيا
adimokratya,الديمقراطية
alkrb,الغرب
hhh,ههه
yrahm,يرحم
sdam,صدام
hcin,حسين
m3amr,معمر
alkdafi,القذافي
hwari,هواري
bomdyan,بومدين
3alaykom,عليكم
khona,خونا
france,فرانس
jahanam,جهنم
mahabatch,ماحبتش
tachba3,تشبع
hal,هل
maazid,مزيد
3ajabni,عجني
loukan,لوكان
ykamal,يكمل
babia,بابية
babia,بابيا
jsk,شبيبة القبائل
rahoum,راهم
walo,والو
homa,هوما
sitif,سطيف
lala,لال
lala,لالا
mamat,ممات
hakda,هكدا
hakda,هاكا
hakda,هاكدا
ssamadi,الصمدي
chay,شيء
jib,جيب
hmar,احمر
hadj,حاج
issa,عيسى
missi,ميسي
rouh,روح
zour,زور
chouf,شوف
tbib,طبيب
dawik,داويك
masar,ماصر
tarbah,تربح
bach,باش
nala3bo,نلعبو
nchoufo,نشوفو
ballon,بالون
ichouf,يشوف
ichouf,اشوف
yerham,يرحم
ldikom,والديكم
fahmona,فهمونا
ykon,يكون
ykon,اكون
hab,حاب
yahkemha,يحكمها
3ohda,عهدة
tania,ثانية
khalina,خلينا
menek,منك
raiah,رايح
tkrahelna,تكرهلنا
hiatna,حياتنا
kbir,كبير
ma3andek,ماعندك
mattma3,ماتطمع
yradj3ak,يرجعك
saadan,سعدان
akol,اقول
lak,لك
fakid,فقيد
chay2,شيء
yo3tih,يعطيه
fa,ف
konta,كنت
rajol,رجل
bi,بي
ma3na,معنى
ma3na,معانا
kalima,الكلمة
tanaha,تنحا
3an,عن
mansibik,منصبك
intha,انتهى
waktek,وقتك
cheikhna,شيخنا
inchallah,نشالله
perd,بير
espoires,اسبوار
passience,باسيانس
chfae,الشفاء
aaaaaaaaaaamine,امين
mes,مي
phrases,فراز
man7oucine,منحوسين
ya3miw,يعميو
3inine,عينين
yej3al,يجعل
7afd,حفض
l7amdoulah,الحمدلله
makanche,ماكانش
matou,ماتو
hnaya,حنايا
na3arfo,نعرفو
nafto,نفتو
yakhroj,يخرج
3lina,علينا
tgast,تقست
sa7,صح
tekhda3t,تخدعت
mara,مرة
nweli,نولي
3bad,عباد
riche,ريش
y,ي
koun,كون
rebi,ربي
nerbho,نربحو
sobhana,سبحان
kachi,كاشي
om,ام
tahrak,تحرق
banha,بنها
man,من
kabdatha,كبدتها
tkon,تكون
marida,مريضة
3aklyan,عقليا
nsma3,نسمع
mra,مرا
meskina,مسكينة
7asbouha,حسبوها
bagra,بڨرة
bagra,بقرة
maa,ما
tekteb,تكتب
teqra,تقرأ
maykhaoufna,مايخافونا
bay,باي
baya,باية
hadje,حاج
ziyaya,زياية
yansakom,ينساكم
m3akem,معاكم
ess,وفاق سطيف
nas,ناس
arfa,عارفا
kifah,كيفاه
tel3at,طلعت
cabba,أهلي برج بوعريريج
national,ناسيونال
monsieur,ميسيو
president,بريزيدان
y3awnek,يعاونك
ykadrek,يحادرك
ghoual,غوال
ta3e,تع
ta3e,تاع
tzayer,دزاير
la3nato,لعنة
la3nato,لعنت
allahi,الله
3alayhi,عليه
eat,ايتا
responsable,ريسبونسابل
3lihom,عليهم
3azrona,عزرونا
elah,الله
latbahoum,لاتربحم
kamen,كامل
ne9raw,نقراو
f1n,فين
ylkharbtoha,يخربطوها
metrabi,متربي
akhlak,اخلاق
3alyia,عالية
plutard,بلوطار
kipe,كيب
natonal,ناسيونال
nchallah,نشالله
lemouchia,لموشية
tkoun,تكون
pask,باسك
fo,فو
po,با
nfartou,نفرطو
jabou,جابو
calification,كاليفيكاسيو
boughera,بوقرة
contrra,كونترا
med,محمد
wahrani,وهراني
papa,بابا
wi,و
goulo,قولو
igoulo,يقولو
mha,مها
mabrouk,مبروك
bantek,بنتك
jena,جنة
netkalchou,نتقلشو
ghi,غير
eljazzira,الجزايرية
ma3andna,ماعندنا
mandirou,مانديرو
belburau,بالبيرو
nta3houm,نتاعهم
houma,هوما
gal3ou,ڨلعو
3lamna,علامنا
equipes,ايكيب
nta3,نتاع
mond,موند
alykoum,عليكم
mouchkil,مشكل
chaouchi,شاوشي
gazel,غزال
l3ab,لعب
match,ماتش
marka,ماركا
bit,بيت
bcp,بوكو
9ribe,قريب
madabikom,مادابيكم
t3ayto,تعيطو
yebdda,يبدا
jouj,جوج
ghaleb,غالب
kan,كان
baroud,بارود
feha,فيها
khadama,خدمة
tokhlos,تخلص
yetkhas,يتقاس
mera,مرا
mera,مرة
mahich,ماهيش
khedemetha,خدمتها
agent,اجو
securite,سيكوريتي
mi,مي
yekon,يكون
3awenehom,عوانهم
ih,اه
elharrachia,الحراشيا
dertou,درتو
nul,نيل
habitou,حبيتو
taklou,تاكلو
denia,دنيا
hatou,حطو
rajlikom,رجليكم
ybardou,يبردو
l3am,لعام
tahabtou,تحبطو
hgartou,حڨرتو
rck,رائد القبة
plasatkom,بلاصتكم
derby,دربي
bentalha,بن طلحة
lmechkel,لمشكل
mechi,ماشي
elkhelifa,الخليفة
lekin,لاكن
sna3,صنع
wechkoun,وشكون
hadou,هادو
takdar,تقدر
el3adel,العدل
aljezeiria,الجزائرية
thesebhem,تحاسبهم
wella,ولا
yhesbou,يحسبو
el3edela,العدالة
barkawna,باركاونا
elhakika,الحقيقة
che3b,شعب
rahou,راهو
3arafha,عارفها
jay,جاي
yenjeh,ينجح
puisq,بويسك
rahi,راهي
wezara,وزارة
yethamelha,يتحملها
talamid,تلاميذ
7arzou,حرزو
jma3a,جماعة
marahch,ماراهش
7aja,حاجة
sehla,ساهلة
serat,صرات
nass,ناس
kanet,كانت
benthom,بنتهم
mahmoma,مهمومة
igol,يقول
lhom,لهم
ntouma,نتوما
mas7oura,مسحورة
n3awen,نعاون
patrie,باتري
nfinanci,نفينانسي
parties,بارتي
3aliha,عليها
lrjal,رجال
winkom,وينكم
masooline,مسؤولين
hadha,هاذا
besah,بصح
rhadwa,غدوا
kodam,قدام
nhasboukam,نحاسبوكم
ahna,حنا
ahna,احنا
nmouto,نموتو
wntouma,ونتوما
jiboulna,جيبولنا
ordures,اوردور
far7ouna,فرحونا
fara7koum,فرحكم
ina,انا
kaidahona,كيدهن
3adim,عضيم
astarfirou,استغفر
soubhanahou,سبحانه
ta3ala,تعالى
algeriene,الجيريان
rassssssa,راصا
3adana,عادانا
bassa,باصا
chahda,شاهدة
tarikh,التاريخ
tarikh,تاريخ
i3awed,اعاود
nefso,نفسو
hhhhhhhhhhhhhhhhhh,ههههه
hhhhhhhhhhhhhhhhhh,ههههههه
baggio,باجيو
3arab,عرب
yesma3,يسمع
yecuicidi,يسويسيدي
wlh,والله
gla3,ڨلع
hadik,هاديك
queu,كو
cheval,شوفال
lieu,ليو
zine,زين
al3abidine,العابدين
ywakal,يوكل
dyalou,ديالو
yroh,يروح
yroh,اروح
yamna3,يمنع
yakhi,ياخي
arabes,اراب
arabes,اغاب
wellah,والله
mayatfahmo,مايتفهمو
bidon,بيدون
ta3liq,تعليق
rakam,راكم
rakam,رقم
mashaalah,ماشاء لله
hadu,هادو
yasharfu,يشرفو
lblad,لبلاد
baraka,بارك
allahu,الله
fik,فيك
sa3doun,سعدان
ywafkak,يوفقك
koul,كل
mashri3ak,مشرقك
netmana,نتمنا
antar,عنطر
yahia,يحيى
meghni,مغني
demain,دومان
gagne,ڨاڨني
mansouri,منصوري
beaucoup,بوكو
ntaklou,نتكلو
sa3dane,سعدان
waladek,ولادك
jounesse,جونيس
hade,هاد
chompioner,شامبيوني
hamidi,حميدي
anderson,اندرسون
hamdou,حمد
hadihi,هاذه
an,ان
netmano,نتمناو
far9,فرق
bin,بين
jodod,جدد
9odama,قدما
ya3tina,يعطينا
jdid,جديد
marhba,مرحبا
bih,بيه
projets,بروجي
nejbedhoum,نجبدهم
narbho,نربحو
rab,رب
kon,كون
vets,فار
brabi,بربي
ncharfoukoum,نشرفوكم
koulouna,كلنا
ma3a,مع
fari9,فريق
watani,وطني
jazayri,جزايري
3ajebeteni,عجبتني
quoi,كوا
mele,مال
khi,خي
3akliya,عقلية
assalamo,السلام
3alaycom,عليكم
vraiment,فريما
tres,تري
voila,فوالا
exporte,اكسبورت
hhhh,هههه
3lach,علاش
yghirou,يغيرو
malger,مالغري
tout,تو
bladi,بلادي
nebrik,نبغيك
chno,شنو
3andkom,عندكم
ba3da,باعدا
yhasdokoum,يحسدوكم
dahaktini,دحكتيني
usoaamizour,الاتحاد الرياضي لوادي أميزور
inter,انتار
rigion,ريجيو
yahdikoom,يهديكم
nelgua,نلقا
yharguni,يحرڨوني
nahrag,نحرڨ
nkoon,نكون
bali,بالي
nmoot,نموت
hedik,هاديك
lila,ليلة
mohim,مهم
manbkache,مانبقاش
surtout,سورتو
na7ki,نحكي
3li,على
3li,علي
maison,ميزون
rendezvous,رانديفو
y3wnek,يعاونك
koya,خويا
gendarme,جندارم
tehkam,تحكم
ratiha,راطيها
d3a,دعا
3liha,عليها
met,مات
khatik,خاطيك
y3ayik,يعاييك
lire,لير
3akidet,عقيدة
noussayriya,نصيرية
avant,افان
dire,دير
betises,بيتيز
enfin,انفين
dok,دوك
yadoh,يدوه
lahwayech,لهوايش
yakhdem,يخدم
yakhdem,يحكم
mazalet,مازالت
3andi,عندي
hayja,هيجة
hajouj,هاجوج
majouj,ماجوج
3alamna,علمنا
wa7y,وحي
bili,بلي
houa,هو
houa,هوا
ya7di,يهدي
crb,شباب بلوزداد
championa,شامبيونا
championa,شمبيونا
ouled,ولاد
cherchell,شرشال
mdjibounach,ماجيبوناش
jeur,جوار
nathanaw,نتهناو
3amros,عمروس
jibana,جيبلنا
daham,دهم
mrsi,ميرسي
ghna,غنا
maghadich,ماغاديش
yanf3ek,ينفعك
yaw,ياو
salatek,صلاتك
zakatek,زكاتك
hia,هي
tanf3ak,تنفعك
inshallah,نشالله
tatla3,تطلع
la7kaya,لحكاية
s7i7a,صحيحة
khatr,خاطر
ykolo,يقولو
hka,هكا
yadhhar,يضهر
3aks,عكس
dns,دان
tt,تو
bouteflika,بوتفليقة
marto,مرتو
youm,يوم
yebahdel,يبهدل
yjeb,يجيب
i,اي
tayecheha,طيشها
dar,دار
weldaha,والديها
yestahl,يستهل
yat3ab,يتعب
yanal,ينال
hamra,حمرة
zahina,زهينا
yahefdek,يحفدك
3atman,عثمان
twahechnak,توحشتك
tahia,تحيا
mekhlouf,مخلوف
boumbardi,بومباردي
nadkhoulha,ندخلها
dakhlate,دخلات
njib,نجيب
intikhabate,انتخابات
3ayeniya,عينيا
alg,الجيري
alg,ألجيريان
meilleur,ميور
meilleur,مييور
entraineur,اونطرينور
3arfettou,عرفاتو
nationale,ناسيونال
saadane,سعدان
lahi,الله
lahi,له
yachafik,يشافيك
bouaza,بوعزة
kane,كان
darha,دارها
ma3ayatlakche,ماعيطلكش
yesthal,يستهل
moudarab,مدرب
hanouna,حنونة
ness,ناس
tadya3e,تضياع
wakte,الوقت
coper,كوبير
nhar,نهار
wahd,واحد
okher,اخر
ywili,يولي
oui,وي
jil,جيل
maniere,مانيار
achil,اشيل
marchi,مارشي
nouir,نوار
kont,كنت
nkhdem,نخدم
alger,الجي
felmarchi,فالمارشي
eyzido,يزيدو
eynahiw,يناحيو
esizi,اسيزي
ezawali,الزوالي
ey3awen,يعاون
roho,روحو
chwiya,شويا
galeb,غالب
makach,ماكاش
charikat,شركات
khlo,خلو
azwali,الزوالي
yakol,ياكل
elkobz,الخبز
ftorkom,فطوركم
cherif,شريف
elouazani,الوزاني
tergod,ترقد
trabhek,تربحك
abou,ابو
machakil,مشاكل
tayeht ,طيحت
