Arabizi,Arabic
el3a,العا
3asb,عصبه
el3as,العاص
l3asb,لعصاب
el3asb,العصاب
sba,صبا
asba,اسبا
3asba,عصابة
l3asba,لعصابة
el3asba,العصابة
j,ج
un,ون
nj,نج
ja,جا
oun,وني
unj,نجا
nja,نجا
boun,بونج
ounj,ونجا
unja,نجاح
bounj,بونجا
ounja,ونجاح
bounja,بونجاح
har,هار
khar,خارج
hdh,حضر
hi,هي
q,ق
lq,لق
qo,قو
ow,وة
wa,وا
lqo,لقو
qow,قوة
owa,قوة
lqow,القو
qowa,لقوة
lqowa,القوة
ld,لد
ri,ري
ib,يب
lda,الد
dar,دار
ari,اري
rib,ريب
iba,يبا
ldar,لدار
dari,داري
arib,ريبا
riba,ريبا
ldari,الضار
darib,لضارب
ariba,ضاربة
ldarib,الضارب
dariba,لضاربة
ldariba,الضاربة
lan,لان
ano,انو
lano,لانو
a3,اع
3o,عو
ud,ود
ta3,تاع
a3o,اعو
3ou,عول
oud,ودة
ta3o,تاعو
a3ou,اعوه
3oud,ودنا
ta3ou,تعودن
a3oud,عودنا
ta3oud,تعودنا
ns,نس
sk,سك
kt,كت
nsk,نسك
skt,سكت
kto,كتب
nskt,نسكت
skto,سكتو
nskto,نسكتو
nk,نك
af,اف
nkh,نخل
haf,افي
nkha,نخلي
khaf,خافو
nkhaf,نخافو
3r,عر
nst,نست
a3r,عرف
nsta,نستع
sta3,ستعم
ta3r,تعرف
nsta3,نستعر
sta3r,ستعرف
nsta3r,نستعرف
bi,بي
ih,يه
bih,بيه
iho,يهم
biho,بيهم
nh,نه
anh,انه
nho,نهم
anho,انهم
ro,رو
aro,ارو
daro,دارو
ry,ري
sto,ستو
tor,طور
ory,وري
rya,ريا
yat,يات
stor,ستور
tory,توري
orya,وريا
ryat,ريات
story,ستوري
torya,توريا
oryat,وريات
storya,ستوريا
toryat,توريات
storyat,ستوريات
qb,قب
be,بي
qbe,قبل
lm,لم
re,ري
et,يت
tt,تت
lmb,الم
mba,مبا
are,اري
ret,ريت
ett,الت
lmba,المب
mbar,مبار
bare,بارح
aret,اريت
rett,ارات
lmbar,المبا
mbare,مبارح
baret,مبارا
arett,بارات
lmbare,المبار
mbaret,لمبارا
barett,مبارات
lmbaret,المبارا
mbarett,لمبارات
lmbarett,المبارات
hak,خصي
hakd,هكذا
bel,بال
ela,الا
lak,لاك
bela,بالأ
elak,الاخ
belak,بالاك
ykha,يخلي
ykhaf,يخافو
eli,يلي
yd,يد
di,دي
ir,ير
ydi,يدي
dir,دير
iro,يرو
ydir,يدير
diro,ديرو
ydiro,يديرو
had,هاد
z,ز
hz,حز
zl,زل
lma,الم
mah,ماه
ahz,احز
hzl,هزل
zla,زلا
lmah,المه
mahz,لمهز
ahzl,مهزل
hzla,هزلة
lmahz,المهز
mahzl,لمهزل
ahzla,مهزلة
lmahzl,المهزل
mahzla,لمهزلة
lmahzla,المهزلة
7,ح
7a,حا
bn,بن
7as,حسب
sbn,بنا
7asb,حسبو
asbn,سبنا
7asbn,حسبنا
ll,لل
all,الل
lla,لله
alla,الله
ni,ني
i3,يع
ni3,نعم
3m,عم
i3m,عمة
ni3m,نعمة
ki,كي
wak,وقت
aki,اكي
waki,وكيل
ani,اني
rani,راني
nc,نش
nch,نشو
cho,شوف
ncho,نشوف
elm,الم
mad,ماد
belm,بالم
elma,الما
lmad,لماض
belma,بلماض
elmad,الماض
belmad,بلماضي
ray,راي
raye,رايح
rab,راب
il,يل
lk,لك
kil,كيل
ilk,يلك
akil,وكيل
kilk,كيلك
wakil,لوكيل
akilk,كيلكم
wakilk,وكيلكم
yr,ير
id,يد
do,دو
yri,يري
rid,ريض
ido,يدو
dou,دوا
yrid,يريد
rido,ريدو
idou,يدوا
yrido,يريدو
ridou,ريدون
yridou,يريدون
df,دف
f3,فع
df3,دفع
blm,بال
adi,ادي
blma,بالم
madi,ماضي
blmad,بلماض
lmadi,لماضي
blmadi,بلماضي
is,يس
ti,تي
i9,يق
9a,قا
ist,است
sti,ستي
ti9,تقا
i9a,يقة
9al,قال
isti,استق
sti9,ستقا
ti9a,تقال
i9al,قالة
isti9,استقا
sti9a,ستقال
ti9al,تقالة
isti9a,استقال
sti9al,ستقالة
isti9al,استقالة
tr,تر
tri,طري
ri9,ريق
tri9,طريق
ri9a,ريقة
tri9a,طريقة
kan,كان
kant,كانت
yl,يل
yl3,يلع
l3m,لعم
3mo,عمو
yl3m,يلعم
l3mo,لعمو
yl3mo,يلعمو
ml,مل
ly,لي
yo,يو
mly,ملي
lyo,ليو
you,يوم
mlyo,مليو
lyou,ليوم
mlyou,مليون
az,از
za,زا
ai,اي
jaz,جزا
aza,زائ
zai,ائر
air,ائر
jaza,جزائ
azai,زائر
zair,زائر
jazai,جزائر
azair,زائري
jazair,جزائري
m3,مع
lh,له
lhd,لحظ
lhdh,لحظه
3h,عه
f3h,فعه
df3h,دفعه
ht,حت
hta,تاق
y9,يق
y9a,يقل
9a3,قاع
y9a3,يقعو
9a3o,قعوا
y9a3o,يقعوا
7r,حر
7ra,حرا
ama,اما
mam,مام
amam,امام
cha,شان
nr,نر
nra,نرا
3b,عب
ml3,ملع
l3b,لعب
ml3b,ملعب
m7,مح
7e,حب
eb,يب
it,يت
m7e,محب
7eb,حبو
ebi,يبي
bit,بيت
ito,يتو
m7eb,محبي
7ebi,حبيت
ebit,بيتو
bito,بيتو
m7ebi,محبيت
7ebit,حبيتو
ebito,بيتوش
m7ebit,محبيتو
7ebito,حبيتوش
m7ebito,محبيتوش
tf,تف
fa,فا
tfa,تفا
fah,فاه
ahm,اهم
hmo,همو
tfah,تفاه
fahm,فاهم
ahmo,حمود
tfahm,تفاهم
fahmo,فهموك
tfahmo,تفهموا
mac,ماش
ach,اشي
mach,ماشا
2,ا
s2,سأ
2o,قو
mas,ماس
as2,اسأ
s2o,سؤو
mas2,مسؤو
as2o,سؤول
mas2o,مسؤول
wal,وال
akh,اخل
chak,شاكل
hakh,خصيت
chakh,شخصيت
te,تي
tet,طيت
le,لي
ale,الي
let,ليت
9ale,قالت
alet,قالت
i9ale,اقالت
9alet,قالته
i9alet,اقالته
en,ين
ent,انت
enta,انتا
ntah,نتهت
entah,انتهى
on,ون
nd,ند
mon,مون
ond,وند
ndh,نده
mond,موند
ondh,نظوم
ndho,دهمش
mondh,منظوم
ondho,نظومة
mondho,منظومة
km,كم
bak,باك
akm,اكم
kml,كمل
mlh,مله
lha,لها
bakm,بأكم
akml,اكمل
kmlh,كمله
mlha,ملها
bakml,بأكمل
akmlh,أكمله
kmlha,كملها
bakmlh,بأكمله
akmlha,أكملها
bakmlha,بأكملها
ji,جي
bh,به
jib,جيب
ibh,يبه
bha,بها
jibh,جيبه
ibha,يبها
jibha,جيبها
we,وي
awe,اوي
fe,في
eh,يه
hb,حب
ehb,هبط
hbe,حبي
ehbe,اهبط
hn,هن
hna,حنا
lw,لو
wk,وك
lwk,الو
wka,وكا
lwka,لوكا
wkan,وكان
lwkan,لوكان
rm,رم
ao,او
rma,رما
mao,موظ
rmao,رماو
br,بر
aq,اق
qa,قا
bra,برا
raq,راق
aqa,اقا
braq,براق
raqa,راقة
braqa,براقة
nta3,نتاع
zw,زو
zwa,زوا
wao,واو
aou,وشي
zwao,زواو
waou,واوش
zwaou,زواوش
tk,تك
tkh,تخر
khr,خرج
tkhr,تخرج
khe,خير
dor,دور
ek,يك
yek,يخر
ekh,اخت
yekh,يخدم
md,مد
mdi,مدي
mdir,مدير
e3,اع
lml,لمل
mle,ملي
le3,لعب
e3b,لعب
lmle,لملي
mle3,ملعب
le3b,لعبو
lmle3,الملع
mle3b,لملعب
lmle3b,الملعب
ol,ول
y9o,يقو
9ol,قول
oll,ولك
y9ol,يقول
9oll,قولل
y9oll,يقولك
lt,لت
hl,حل
yf,يف
fo,فو
lth,لته
thl,تحل
hly,هلي
lyf,ليف
yfo,يفو
fon,فون
ona,ونا
nat,نات
lthl,الثل
thly,لثلي
hlyf,ثليف
lyfo,ليفو
yfon,يفون
fona,فونا
onat,ونات
lthly,الثلي
thlyf,لثليف
hlyfo,ثليفو
lyfon,ليفون
yfona,يفونا
fonat,فونات
lthlyf,الثليف
thlyfo,لثليفو
hlyfon,ثليفون
lyfona,ليفونا
yfonat,يفونات
lthlyfo,الثليفو
thlyfon,لثليفون
hlyfona,ثليفونا
lyfonat,ليفونات
lthlyfon,الثليفون
thlyfona,لثليفونا
hlyfonat,ثليفونات
lthlyfona,الثليفونا
thlyfonat,لثليفونات
lthlyfonat,الثليفونات
ss,لس
wr,ور
ssw,لسو
swr,صور
sswr,صورو
bb,بب
ssa,لصح
sab,ساب
abb,بيت
ssab,لسبب
sabb,لسبة
ssabb,السبة
rd,رد
iy,يا
lar,لار
ard,ارض
rdi,ردي
diy,ضية
iya,ياح
lard,لارض
ardi,اردي
rdiy,ارضي
diya,رضية
lardi,الارض
ardiy,ارضية
rdiya,ارضية
lardiy,الارضي
ardiya,لارضية
lardiya,الارضية
ahi,اهي
rahi,راهي
i7,يح
mli,ملي
li7,ليح
i7a,يحة
mli7,مليح
li7a,ليحة
mli7a,مليحة
t9,تق
9l,قل
t9l,تقل
9la,قلق
t9la,تصلح
lek,ليك
chi,لشي
3d,عد
3da,عدا
ko,كو
kor,كور
l9,لق
l9a,الق
9ad,قدر
ada,ادا
l9ad,القد
9ada,لقدم
l9ada,القدم
aj,اج
je,جي
aje,اجي
jel,اجل
ajel,اجله
hra,حرا
ekhr,اخرس
khra,خرجت
ekhra,اخرسي
ont,ونت
mont,منتخ
onta,نتخب
monta,منتخب
hab,حبي
kr,كر
ekr,كره
kra,كره
yekr,يكره
ekra,كرهو
yekra,يكرهو
hay,ايف
aya,ايا
haya,حيات
ayat,ايات
hayat,حياتي
a2,ائ
a3d,اعد
da2,داء
a3da,اعدا
3da2,عداء
a3da2,أعداء
naj,نجم
aja,اجا
naja,نجاح
wah,واح
wahe,واحد
ibo,يبو
bon,بون
ndi,ندي
yrib,يريب
ribo,ريبو
ibon,يبون
bond,بوند
ondi,وندي
yribo,يريبو
ribon,ريبون
ibond,يبوند
bondi,بوندي
yribon,يريبون
ribond,ريبوند
ibondi,يبوندي
yribond,يريبوند
ribondi,ريبوندي
yribondi,يريبوندي
lba,لبا
bag,باق
agh,اغل
ghd,غدا
lbag,لباق
bagh,باغي
aghd,غداد
lbagh,لبغدا
baghd,بغداد
lbaghd,لبغداد
olo,ولو
9olo,قولو
y9olo,يقولو
aha,اها
raha,راحه
etk,يتك
tkt,تكت
tetk,تتكل
etkt,تكتب
tetkt,تتكتب
abh,ابه
abha,ابها
sh,شو
shi,صحي
jm,جم
mi,مي
jmi,جمي
mil,ميل
jmil,جميل
yn,ين
ynd,يند
ndd,ندد
yndd,يندد
3i,عي
ll3,للع
l3i,لعي
3ib,عيب
ll3i,اللا
l3ib,لاعب
3ibo,لاعب
ibou,يبون
ll3ib,اللاع
l3ibo,للاعب
3ibou,لاعبو
iboun,اعبون
ll3ibo,اللاعب
l3ibou,للاعبو
3iboun,لاعبون
ll3ibou,اللاعبو
l3iboun,للاعبون
ll3iboun,اللاعبون
l2,ال
2m,ام
mr,مر
bl2,بال
l2m,الا
2mr,م ر
bl2m,بالأ
l2mr,الأم
bl2mr,بالأم
has,حاس
khas,خاسر
3n,عن
ma3,ماع
a3n,عنا
3na,عنا
nay,ناي
ayo,ايو
lma3,المع
ma3n,ماعن
a3na,اعنا
3nay,عنيو
nayo,نيون
lma3n,المعن
ma3na,معنوي
a3nay,معنيو
3nayo,عنيون
lma3na,المعني
ma3nay,لمعنيو
a3nayo,معنيون
lma3nay,المعنيو
ma3nayo,لمعنيون
lma3nayo,المعنيون
bas,باس
ash,اشي
shr,شري
mbas,مباش
bash,باشر
ashr,اشرب
mbash,مباشر
bashr,باشرة
mbashr,مباشرة
2n,ان
l2n,لأن
yt,يت
yth,يتح
tha,تها
ytha,يتها
thas,تحاس
ythas,يتحسر
b3,بع
b3d,بعد
eq,يق
qt,قت
eqt,اقت
qta,قطع
tan,تان
eqta,اقتن
qtan,قتنع
eqtan,اقتنع
ms,مس
in,ين
lms,الم
ms2,مسؤ
2ou,ولي
uli,ولي
lin,لين
lms2,المس
ms2o,مسؤو
s2ou,ؤولي
2oul,ولين
ouli,وليل
ulin,ولين
lms2o,المسؤ
ms2ou,لمسؤو
s2oul,ؤولين
2ouli,ؤولين
oulin,ؤولين
lms2ou,المسؤو
ms2oul,لمسؤول
s2ouli,سؤولين
2oulin,سؤولين
lms2oul,المسؤول
ms2ouli,لمسؤولي
s2oulin,مسؤولين
lms2ouli,المسؤولي
ms2oulin,لمسؤولين
lms2oulin,المسؤولين
3ba,عبا
ara,ارا
3bar,عبار
bara,بارا
3bara,عبارة
fas,فاس
shl,شلق
hli,هلي
fash,فاشل
ashl,اشلي
shli,صحلي
fashl,فاشلي
ashli,اشلين
fashli,فاشلين
ghi,غير
qab,قاب
abi,ابي
bil,بال
ili,يلي
qabi,قابل
abil,ابيل
bili,بيلي
qabil,قابلي
abili,ابيلي
qabili,قابلين
ts,تس
s7,صح
7i,حي
llt,للت
lts,لتص
ts7,تصح
s7i,صحي
7i7,حيح
llts,للتص
lts7,لتصح
ts7i,تصحي
s7i7,صحيح
llts7,للتصح
lts7i,لتصحي
ts7i7,تصحيح
llts7i,للتصحي
lts7i7,لتصحيح
llts7i7,للتصحيح
kma,كما
qal,قال
ln,لن
aba,ابا
3nab,عناب
naba,نابة
3naba,عنابة
ahr,هري
wahr,وهرا
ahra,حراء
wahra,وهران
yh,يه
yhe,يهم
es,اس
so,سو
ess,الس
sso,لسو
son,سون
ntr,نتر
esso,السو
sson,لسون
sont,سونط
ontr,ونتر
esson,السون
ssont,لسونط
sontr,سونطر
essont,السونط
ssontr,لسونطر
essontr,السونطر
rak,راك
fahe,فاهم
go,قو
gol,قول
golo,قولو
rih,ريح
yrih,يريح
tc,تش
hk,حك
tch,تشو
chk,شكو
tchk,تشكي
nah,ناه
ahd,احد
hdr,حضر
nahd,نهدر
ahdr,احضر
nahdr,نهدرو
elw,الو
lwe,لوي
belw,بالو
elwe,لوين
belwe,بالون
ks,كس
aks,اقص
ksa,كسر
aksa,اقسم
sam,سام
ksam,قسيم
aksam,أقسيم
ell,الل
bell,بالل
ella,الله
bella,بالله
waq,واق
ze,زي
zet,زيت
ets,تصو
zets,زطشي
mak,ماك
aka,اكا
maka,ماكا
akan,اكان
makan,ماكان
hou,وفو
chou,شوفو
nchou,نشوفو
3f,عف
la3,لاع
a3f,عفس
3fa,عفا
fay,فاي
la3f,لعفا
a3fa,عفاي
3fay,فايس
la3fa,لعفاي
a3fay,عفايس
la3fay,لعفايس
wall,والل
walla,والله
ww,وو
l9o,الق
9ow,قوة
oww,قوة
l9ow,القو
9oww,لقوة
l9oww,القوة
ddar,لدار
ddari,الضار
ddarib,الضارب
ddariba,الضاربة
tra,ترا
akt,اكت
trak,راكي
rakt,راكت
akto,كتوب
ktor,تورا
trakt,تراكت
rakto,راكتو
aktor,كتورا
trakto,تراكتو
raktor,راكتور
traktor,تراكتور
y7,يح
y7a,يحب
7ar,حار
y7ar,يحرث
oh,وح
moh,محا
fek,فيك
fekr,فكره
sl,سل
wes,ويس
esl,سلم
wesl,وصلت
ga,قا
ga3,قاع
edr,اضر
edra,الدر
rahm,رحمة
edrah,الدرا
drahm,لدراه
edrahm,الدراه
rt,رت
art,ارت
rth,رته
dart,دارت
arth,ارثي
darth,درتهم
a9,اق
9d,قد
ma9,ماق
a9d,قضي
9di,قدي
dit,ديت
ma9d,مقدي
a9di,قديت
9dit,ديتش
ma9di,مقديت
a9dit,قديتش
ma9dit,مقديتش
t3,تع
3e,عي
et3,تعل
t3e,تعي
tet3,تتعر
et3e,تعلم
tet3e,تتعلم
tek,طيك
ekt,كتب
tekt,تكتب
kht,ختي
akht,أخطر
khta,ختار
akhta,اخطاء
2i,ئي
eml,ملي
mla,ملا
la2,لائ
a2i,ائر
2iy,ئية
emla,املا
mla2,ملائ
la2i,لائي
a2iy,ائية
emla2,املائ
mla2i,ملائي
la2iy,لائية
emla2i,املائي
mla2iy,ملائية
emla2iy,املائية
ik,يك
rki,ركي
kik,كيك
ika,يكا
rkik,ركيك
kika,كيكة
rkika,ركيكة
dn,دن
adn,ادن
dna,دنا
ladn,لادن
adna,ادنا
bladn,بلادن
ladna,لادنا
bladna,بلادنا
bal,بال
ala,الا
bala,بالا
alad,الاد
balad,بلدية
er,ير
mer,مير
eri,يري
rik,ريك
meri,مريك
erik,ريكي
rika,ريكا
merik,مريكي
erika,ريكان
merika,مريكان
miy,مية
iy9,يقب
9ab,قاب
abl,ابل
blo,بلو
lon,لون
miy9,ميقب
iy9a,يقبل
y9ab,قبلو
9abl,قابل
ablo,ابلو
blon,بلون
miy9a,ميقبل
iy9ab,يقبلو
y9abl,قبلون
9ablo,قابلو
ablon,لوناش
miy9ab,ميقبلو
iy9abl,يقبلون
y9ablo,قبلونا
9ablon,بلوناش
miy9abl,ميقبلون
iy9ablo,يقبلونا
y9ablon,قبلوناش
miy9ablo,ميقبلونا
iy9ablon,يقبلوناش
miy9ablon,ميقبلوناش
2a,ال
9s,قص
2a9,لاق
a9s,قصو
2a9s,اقسم
kar,كار
kart,كارث
karth,كارثي
kn,كن
trk,ترك
rkn,ركن
kna,كنا
trkn,تركن
rkna,ركنا
trkna,تركنا
din,دين
tb,تب
etb,تبد
tba,تبا
ba3,بعد
etba,تبدل
tba3,تباع
ba3n,باعن
etba3,إتباع
tba3n,تباعن
ba3na,باعنا
etba3n,إتباعن
tba3na,تباعنا
etba3na,إتباعنا
bd,بد
bda,بدا
sj,سج
jd,جد
msj,مسج
sjd,سجد
msjd,مسجد
7t,حت
y7t,يحت
7ta,ترم
taj,تاج
y7ta,يحتا
7taj,حتاج
y7taj,يحتاج
ke,كي
kes,كيش
mn,من
sm,سم
asm,اسم
sme,سمي
men,مين
asme,صميم
smen,سمنت
asmen,اسمنت
w7,وح
w7e,واح
7ed,احد
w7ed,واحد
mh,مه
mhd,مهد
mhdr,مهدر
3li,علي
lih,ليه
3lih,عليه
jat,جات
b9,بق
b9a,بقا
b9a3,بقاع
aa,اا
kaa,كأن
aaa,ااا
aam,عمل
aml,امل
kaaa,كااا
aaaa,اااا
aaam,ااام
aaml,اامل
kaaaa,كاااا
aaaaa,ااااا
aaaam,اااام
aaaml,ااامل
kaaaaa,كااااا
aaaaaa,اااااا
aaaaam,ااااام
aaaaml,اااامل
kaaaaaa,كاااااا
aaaaaam,اااااام
aaaaaml,ااااامل
kaaaaaam,كاااااام
aaaaaaml,اااااامل
kaaaaaaml,كاااااامل
rw,رو
drw,درو
hdrw,هدرو
lu,لو
ug,قر
llu,للغ
lug,لغة
ellu,اللغ
llug,للغة
ellug,اللغة
3ar,عار
3ara,عربي
arab,اراب
3arab,عربية
tes,تست
est,است
test,تستح
esta,ستاه
testa,تستاه
estag,استغف
testag,تستغيث
kam,كام
ame,امي
kame,كامل
7al,حال
7ala,حالة
hs,حس
khs,خسر
hsa,حسا
khsa,خسار
hsar,سارة
khsar,خسارة
liho,ليهم
3liho,عليهم
hed,هدا
khed,خدمة
3w,عو
l3w,لعو
3wa,عوا
l3wa,لعوج
hiy,يات
ghiy,غياب
de,دي
wad,واض
ade,ادر
wade,وديه
ayn,اين
yna,ينا
kayn,كاين
ayna,اينة
kayna,كاينة
atr,اتر
raf,راف
atra,اطرا
traf,طراف
atraf,اطراف
aghi,صغير
baghi,باغية
ted,تدخ
edm,دمة
tedm,تدمر
haj,حاج
haja,حاجة
iha,يها
mlih,مليح
liha,ليها
mliha,مليحة
ok,وك
mok,مقا
okh,اخت
mokh,مختص
okha,خابر
khab,ابات
mokha,مخابر
okhab,خابرا
mokhab,مخابرا
ej,اج
lej,الع
eja,اجا
jan,جان
leja,العظ
ejan,لعظي
lejan,العظي
3ad,عاد
3adi,عادي
ft,فت
3ra,عرف
aft,افت
fth,فتح
ma3r,ماعر
a3ra,اعرف
3raf,عرفي
raft,رفتش
afth,فتها
ftha,فتها
ma3ra,ماعرف
a3raf,اعرفت
3raft,عرفتش
rafth,رفتها
aftha,فتهاش
ma3raf,ماعرفت
a3raft,اعرفته
3rafth,عرفتها
raftha,رفتهاش
ma3raft,ماعرفته
a3rafth,اعرفتها
3raftha,عرفتهاش
ma3rafth,ماعرفتها
a3raftha,اعرفتهاش
ma3raftha,ماعرفتهاش
3an,عند
and,اند
ndn,دنا
3and,عنده
andn,ندنا
3andn,عندنا
sd,صد
ssd,الص
sda,صدا
dad,داد
ssda,الصد
sdad,لصدا
ssdad,الصدا
tl,تل
mc,مش
ce,سي
tle,تلي
lem,لام
emc,مشي
mce,سان
tlem,تلمس
lemc,لمسا
emce,مسان
tlemc,تلمسا
lemce,لمسان
tlemce,تلمسان
ez,يز
bez,بزا
eza,زاف
beza,بزاف
jo,جو
jom,جمع
omh,مهو
mho,مهم
jomh,جمهو
omho,مهور
jomho,جمهور
maho,ماهو
ahom,اهمش
mahom,ماهمش
mk,مك
mka,مكا
mkan,مكان
mahr,محرز
tj,تج
tji,تجي
um,وم
oum,وما
umi,مين
youm,يومي
oumi,ومين
youmi,يومين
fal,فال
al3,الع
3am,عام
fal3,فالع
al3a,العا
l3am,لعام
fal3a,فالعا
al3am,العام
fal3am,فالعام
tel,تيل
tel3,تلعب
alo,الو
balo,بالو
alon,الون
balon,بالون
tq,تق
ntq,نتق
tant,تنتق
antq,نتقد
tantq,تنتقد
rdh,رضي
dhi,ضية
ardh,ارضي
rdhi,رضية
ardhi,أرضية
mal,مال
lmal,لملع
mal3,ملعب
lmal3,لملعب
mal3a,مالعب
lmal3a,الملعب
ha9,حقي
hik,يكو
iko,يكم
chik,شيكو
hiko,يكور
chiko,شيكور
kon,كون
3bo,عبو
l3bo,لعبو
3bou,عبوا
l3bou,لعبوا
tad,تاد
stad,ستاد
arak,ركات
barak,بركات
ahs,احس
ahsa,احسن
rh,ره
arh,اره
sarh,صارح
ysarh,يصرحو
fih,فيه
gr,قر
agr,اقر
bagr,بڨري
hh,هه
hhh,ههه
hhhh,هههه
hhhhh,ههههه
hhhhhh,هههههه
hhhhhhh,ههههههه
hadh,هاذي
irh,يره
rha,رها
dirh,ديره
irha,يرها
ydirh,يديره
dirha,ديرها
ydirha,يديرها
yem,يمش
ems,مشي
yems,يمشي
e7,اح
msa,مسا
sal,صال
le7,الح
msal,مصال
sale,سئله
ale7,الحه
msale,مصالح
sale7,صالحه
msale7,مصالحه
hsab,حساب
os,وس
gos,ڨوس
ost,مست
gost,ڨوسط
osto,وسطو
gosto,ڨوسطو
ami,امي
mir,مير
dami,ضمير
amir,امير
damir,ضميره
tg,تق
ysh,يشو
sht,شتا
htg,تغل
tgh,تغي
ysht,يشتر
shtg,شتغل
htgh,تغلي
yshtg,يشتغل
shtgh,شتغلت
yshtgh,يشتغله
wla,ولا
fk,فك
fkr,فكر
fkra,فكرة
nchr,نشري
tth,تته
ham,حمد
amn,امن
mna,منا
ttha,تتهن
tham,ثمين
hamn,امنه
amna,امنا
ttham,الثام
thamn,لثامن
